Player,Position_Cleaned,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,TB,Sw,PasCrs,PasLive,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,CrdY,CrdR,2CrdY,Fls,Fld,Off,OG,AerWon,AerLost,AerWon%,Rec,RecProg,Recov,PKwon,PKcon,TouDef3rd_norm,TouMid3rd_norm,TouAtt3rd_norm,TouDefPen_norm,TouAttPen_norm,grid_x,grid_y
Yanis Begraoui,MF,21.0,2001,3,1,65,0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,27.1,73.7,295.7,97.1,12.9,17.1,75.0,5.71,7.14,80.0,1.43,2.86,50.0,0.0,2.86,1.43,1.43,0.0,4.29,0.0,0.0,0.0,24.3,2.86,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,1.43,0.0,1.43,1.43,2.86,50.0,1.43,0.0,0.0,0.0,1.43,4.29,0.0,0.0,41.4,0.0,10.0,15.7,15.7,2.86,2.86,1.43,50.0,1.43,50.0,31.4,130.0,45.7,1.43,1.43,0.0,8.57,1.43,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,30.0,4.29,4.29,0.0,0.0,0.24154589371980678,0.37922705314009664,0.37922705314009664,0.0,0.06908212560386473,29,0
Alexis Beka Beka,MF,21.0,2001,8,3,276,3.1,0,0.97,0.32,33.3,0.0,0.0,25.7,0.0,0.0,0.0,45.5,56.1,81.0,784.5,203.2,23.5,28.4,83.0,15.5,18.4,84.2,5.48,7.74,70.8,0.0,0.32,3.55,0.32,0.0,5.16,0.0,0.65,1.61,55.8,1.61,0.97,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.29,1.29,1.61,0.0,0.65,2.9,22.2,2.26,1.61,0.32,1.29,2.26,5.16,0.32,0.0,68.4,2.9,16.5,41.6,11.3,0.32,1.61,0.97,60.0,0.65,40.0,56.5,369.0,161.6,1.61,2.26,0.32,1.61,1.29,0.32,0.0,0.0,2.58,1.29,0.0,0.0,0.32,0.97,25.0,48.4,0.97,9.68,0.0,0.0,0.24122807017543857,0.6081871345029239,0.1652046783625731,0.04239766081871345,0.004678362573099415,78,0
Haris Belkebla,MF,29.0,1994,22,16,1492,16.6,1,0.42,0.12,28.6,0.14,0.5,24.7,0.0,0.0,0.0,36.1,43.2,83.7,642.8,172.5,14.9,16.9,88.6,16.4,18.4,89.2,3.8,5.6,67.7,0.0,0.54,3.98,0.42,0.06,4.88,0.06,0.36,0.42,41.8,1.69,1.45,0.0,0.0,0.0,0.12,0.12,0.06,0.0,0.0,0.0,0.0,0.06,0.0,2.65,1.69,1.14,1.27,0.24,1.63,2.65,61.4,1.02,1.14,0.18,0.96,1.75,4.4,0.72,0.18,53.7,2.11,12.0,34.4,8.01,0.54,1.14,0.24,21.1,0.6,52.6,39.0,206.1,88.6,0.72,1.02,0.18,1.2,0.84,0.06,0.0,0.0,0.96,1.87,0.0,0.0,0.78,0.96,44.8,33.7,1.27,6.81,0.0,0.0,0.22346368715083798,0.6405959031657356,0.14916201117318434,0.039292364990689006,0.01005586592178771,64,0
Armel Bella Kotchap,DF,21.0,2001,13,13,1026,11.4,0,0.88,0.09,10.0,0.0,0.0,16.9,0.0,0.0,0.0,30.2,40.0,75.4,593.2,165.4,10.4,12.1,85.5,16.1,18.8,86.0,3.42,7.81,43.8,0.09,0.26,1.58,0.18,0.0,1.49,0.0,0.7,0.35,38.9,0.79,0.44,0.0,0.09,0.09,0.18,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,1.67,0.61,1.49,0.18,0.0,0.7,0.79,88.9,0.09,1.58,0.53,1.05,2.37,4.04,5.18,0.0,54.0,8.25,28.3,23.5,2.63,1.58,0.53,0.18,33.3,0.09,16.7,28.7,155.5,75.0,0.26,0.53,0.18,0.79,0.44,0.09,0.0,0.0,0.53,1.67,0.0,0.0,2.11,1.23,63.2,27.8,0.18,7.11,0.0,0.0,0.5240740740740741,0.4351851851851852,0.0487037037037037,0.1527777777777778,0.02925925925925926,59,0
Raoul Bellanova,DFM,22.0,2000,10,0,159,1.8,0,1.11,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,47.8,63.9,74.8,781.1,173.3,26.1,30.0,87.0,15.6,22.2,70.0,4.44,7.78,57.1,0.0,0.56,1.11,0.56,0.56,2.22,0.0,1.11,7.78,56.7,2.22,1.11,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,1.11,2.22,0.56,0.0,1.11,1.67,66.7,0.56,1.11,0.56,0.56,1.67,4.44,2.78,0.0,79.4,4.44,21.7,29.4,28.3,2.22,2.22,0.56,25.0,1.11,50.0,47.2,362.8,175.0,4.44,3.33,0.0,1.11,1.11,0.0,0.0,0.0,0.0,1.67,0.0,0.0,1.11,0.0,100.0,49.4,8.89,3.89,0.0,0.0,0.2732997481108312,0.37027707808564225,0.35642317380352645,0.05591939546599496,0.02795969773299748,78,0
Jean-Ricner Bellegarde,MF,24.0,1998,19,19,1589,17.7,1,1.19,0.34,28.6,0.05,0.17,22.8,0.34,0.0,0.0,37.6,49.9,75.3,668.4,208.9,16.1,18.9,85.3,15.8,19.3,82.1,4.35,8.93,48.7,0.28,2.09,3.73,1.92,0.96,5.99,0.23,0.34,5.48,44.7,3.56,2.43,0.73,0.11,0.06,0.23,0.0,0.4,0.34,0.0,0.0,0.06,0.0,0.0,1.75,0.96,0.73,0.73,0.28,0.34,0.85,40.0,0.51,0.85,0.11,0.73,1.19,2.94,0.96,0.0,62.8,1.36,9.83,32.4,21.7,1.3,4.07,1.86,45.8,1.41,34.7,44.2,312.8,161.2,3.79,3.56,0.4,2.2,1.64,0.17,0.0,0.0,0.9,2.54,0.0,0.0,0.79,1.24,38.9,40.2,4.12,6.38,0.0,0.06,0.1565286624203822,0.5159235668789809,0.34554140127388533,0.021656050955414015,0.02070063694267516,66,0
Hector Bellerin,DF,27.0,1995,3,1,143,1.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.1,60.0,80.2,716.3,261.9,30.0,32.5,92.3,13.1,15.6,84.0,3.13,5.0,62.5,0.0,0.63,6.25,2.5,0.0,8.13,0.63,0.0,1.88,51.3,3.13,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.25,0.0,1.25,1.88,66.7,0.63,1.25,0.0,1.25,1.88,3.13,1.25,0.0,66.9,0.63,10.6,31.3,25.6,3.13,2.5,1.88,75.0,0.63,25.0,33.8,169.4,99.4,1.25,1.88,0.63,0.63,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,1.88,0.0,100.0,41.3,3.75,6.25,0.0,0.0,0.1584454409566517,0.4678624813153961,0.38266068759342303,0.009417040358744393,0.04678624813153961,71,0
Jude Bellingham,MF,19.0,2003,19,19,1690,18.8,4,2.07,0.74,35.9,0.1,0.29,16.8,0.11,0.0,0.0,44.1,54.6,80.9,774.4,254.6,19.6,22.9,85.6,17.1,19.9,86.1,5.32,7.66,69.4,0.21,1.06,5.8,1.49,0.11,9.04,0.32,0.9,1.01,52.8,3.88,2.82,0.0,0.32,0.32,0.37,0.05,0.53,0.43,0.0,0.05,0.0,0.05,0.0,2.93,1.54,1.06,1.28,0.59,1.33,1.65,80.6,0.32,2.02,0.16,1.86,1.28,4.2,1.06,0.0,71.2,1.6,12.0,39.0,21.3,3.51,4.95,2.45,49.5,1.44,29.0,45.0,261.0,128.3,3.03,1.97,0.9,2.55,2.13,0.27,0.0,0.0,1.17,2.77,0.05,0.0,1.38,1.06,56.5,52.5,4.41,7.71,0.0,0.0,0.16853932584269662,0.547752808988764,0.2991573033707865,0.02247191011235955,0.04929775280898876,77,0
Andrea Belotti,FW,29.0,1993,18,2,406,4.5,0,1.78,0.89,50.0,0.0,0.0,14.4,0.0,0.0,0.22,15.1,22.2,68.0,196.0,42.2,8.0,10.2,78.3,3.78,5.78,65.4,0.89,1.11,80.0,0.0,1.78,0.67,0.22,0.0,0.89,0.0,0.0,0.67,20.2,2.22,1.78,0.0,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.67,0.22,0.22,0.67,0.44,1.11,40.0,0.67,0.89,0.22,0.67,0.44,1.56,0.44,0.0,34.4,0.67,3.33,12.9,18.4,4.44,1.78,0.44,25.0,1.11,62.5,18.7,105.8,44.7,2.67,0.67,1.11,2.89,1.11,0.0,0.0,0.0,2.0,2.22,0.89,0.0,1.56,4.67,25.0,25.6,6.0,2.44,0.0,0.0,0.09680232558139536,0.375,0.5348837209302325,0.019476744186046512,0.1290697674418605,19,0
Eliesse Ben Seghir,FW,17.0,2005,7,6,466,5.2,3,2.88,0.96,33.3,0.2,0.6,18.5,0.0,0.0,0.0,25.6,32.1,79.6,381.9,115.0,13.1,15.8,82.9,9.04,10.8,83.9,1.54,2.12,72.7,0.19,1.15,2.88,1.54,0.0,5.0,0.38,0.38,0.38,30.8,2.5,1.92,0.0,0.38,0.0,0.19,0.0,0.19,0.19,0.0,0.0,0.0,0.0,0.0,1.92,1.35,0.58,1.35,0.0,0.38,1.35,28.6,0.96,1.35,0.0,1.35,0.38,2.31,0.0,0.0,47.3,0.0,3.27,22.1,22.3,4.04,3.65,1.54,42.1,1.35,36.8,33.5,220.8,90.8,3.08,1.92,0.96,3.65,2.12,0.19,0.0,0.0,1.54,2.88,0.19,0.0,0.58,0.96,37.5,33.7,7.31,4.42,0.0,0.0,0.06913319238900635,0.4672304439746301,0.47145877378435525,0.0,0.0854122621564482,38,0
Salim Ben Seghir,MF,19.0,2003,1,0,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,18.0,1.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,0
Said Benrahma,MF,27.0,1995,20,12,1193,13.3,3,2.86,0.83,28.9,0.03,0.09,22.4,0.23,0.15,0.15,27.8,34.6,80.4,387.9,87.7,17.4,19.2,90.6,8.5,10.6,80.1,1.2,2.78,43.2,0.08,2.11,1.13,0.83,0.45,3.46,0.0,0.08,2.86,33.5,4.51,3.38,0.08,0.6,0.3,0.15,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,1.05,0.45,0.6,0.08,0.38,0.3,0.98,30.8,0.68,0.9,0.08,0.83,0.45,1.5,0.68,0.0,47.4,0.75,5.71,16.9,25.6,3.16,5.94,2.33,39.2,2.78,46.8,31.0,226.5,110.2,4.36,2.33,1.5,2.63,1.73,0.0,0.0,0.0,0.6,0.68,0.38,0.0,0.23,0.45,33.3,35.3,11.6,5.04,0.0,0.0,0.12046413502109705,0.35654008438818563,0.5400843881856541,0.015822784810126583,0.06666666666666667,38,0
Ramy Bensebaini,DF,27.0,1995,18,18,1608,17.9,5,1.4,0.45,32.0,0.16,0.5,16.9,0.11,0.06,0.06,40.3,52.7,76.5,685.7,266.4,19.9,22.3,89.0,15.9,19.6,80.9,3.63,7.15,50.8,0.0,0.56,2.79,0.95,0.06,3.52,0.34,0.11,1.28,41.5,1.28,0.89,0.06,0.06,0.28,0.0,0.0,0.11,0.06,0.0,0.0,0.06,0.0,0.0,1.56,1.01,0.95,0.5,0.11,1.23,1.62,75.9,0.39,1.56,0.56,1.01,1.17,2.74,3.74,0.06,66.1,5.31,23.1,30.5,13.0,2.12,1.17,0.45,38.1,0.61,52.4,31.6,142.7,56.8,1.51,0.56,0.5,1.12,0.73,0.17,0.0,0.0,0.95,1.73,0.11,0.06,2.51,1.34,65.2,35.7,3.69,5.87,0.0,0.0,0.3494704992435704,0.4614220877458397,0.19667170953101362,0.08033282904689865,0.03207261724659607,68,0
Nabil Bentaleb,MF,28.0,1994,18,17,1518,16.9,2,1.18,0.36,30.0,0.1,0.33,26.5,0.36,0.0,0.0,54.7,67.8,80.7,1052.5,363.6,20.1,23.4,85.9,25.7,29.2,88.0,7.57,12.6,60.1,0.18,1.12,6.39,0.41,0.0,6.86,0.24,0.71,3.61,60.8,2.49,1.48,0.71,0.18,0.06,0.06,0.0,0.24,0.12,0.12,0.0,0.0,0.0,0.0,3.25,1.72,1.54,1.48,0.24,1.48,2.31,64.1,0.83,1.18,0.24,0.95,1.72,4.97,1.07,0.12,79.1,2.49,19.8,49.1,11.6,0.24,3.31,1.72,51.8,1.07,32.1,58.2,326.3,147.9,1.12,2.19,0.12,0.83,0.77,0.06,0.0,0.0,1.54,1.78,0.0,0.0,1.12,0.65,63.3,52.2,0.18,8.52,0.0,0.0,0.2503160556257902,0.6207332490518331,0.14664981036662453,0.031479140328697856,0.003034134007585335,105,0
Rodrigo Bentancur,MF,25.0,1997,18,17,1500,16.7,5,0.9,0.54,60.0,0.33,0.56,15.8,0.0,0.0,0.0,44.1,52.6,83.8,685.4,189.5,22.0,24.7,89.1,18.0,20.1,89.6,2.34,4.19,55.7,0.12,0.66,3.23,0.54,0.24,4.49,0.18,0.18,0.96,50.9,2.04,1.62,0.0,0.06,0.12,0.06,0.18,0.3,0.12,0.0,0.0,0.06,0.0,0.12,2.69,1.68,0.9,1.26,0.54,0.9,1.5,60.0,0.6,1.68,0.9,0.78,1.2,3.89,1.32,0.0,64.0,3.11,17.6,36.5,10.5,1.14,1.98,1.26,63.6,0.66,33.3,34.6,179.4,86.3,1.56,0.84,0.06,1.32,1.02,0.48,0.0,0.0,1.44,0.48,0.0,0.0,0.9,0.96,48.4,43.7,1.14,7.66,0.0,0.0,0.275,0.5703125,0.1640625,0.04859375,0.0178125,68,0
Domenico Berardi,FW,28.0,1994,13,10,914,10.2,4,4.31,0.78,18.2,0.05,0.25,22.8,0.39,0.2,0.29,29.5,43.4,67.9,565.4,151.5,13.2,16.6,79.9,11.0,15.3,71.8,4.41,7.75,57.0,0.29,2.06,1.76,2.65,0.39,5.78,0.49,1.86,3.82,40.1,4.51,3.43,0.59,0.2,0.2,0.1,0.0,0.39,0.39,0.0,0.0,0.0,0.0,0.0,1.27,0.98,0.69,0.29,0.29,0.69,1.96,35.0,1.27,0.29,0.0,0.29,0.88,2.16,0.88,0.0,56.1,0.69,5.69,21.6,29.7,4.31,1.67,0.88,52.9,0.59,35.3,36.4,161.5,71.7,2.25,1.37,0.88,2.65,1.57,0.39,0.0,0.0,1.57,1.96,0.49,0.0,0.49,1.08,31.3,43.6,10.7,4.41,0.0,0.0,0.10142602495543672,0.3850267379679145,0.5294117647058824,0.01229946524064171,0.07682709447415328,56,0
Patrick Berg,AM,25.0,1997,3,0,25,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.7,66.7,85.0,1063.3,443.3,26.7,26.7,100.0,16.7,20.0,83.3,10.0,10.0,100.0,0.0,3.33,10.0,3.33,0.0,10.0,0.0,0.0,0.0,66.7,6.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,3.33,0.0,0.0,0.0,3.33,3.33,0.0,0.0,76.7,0.0,16.7,50.0,10.0,0.0,3.33,0.0,0.0,3.33,100.0,56.7,276.7,96.7,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,53.3,13.3,3.33,0.0,0.0,0.2177314211212516,0.651890482398957,0.1303780964797914,0.0,0.0,106,1
Mitchell van Bergen,FW,23.0,1999,18,5,629,7.0,0,2.43,1.29,52.9,0.0,0.0,18.7,0.0,0.0,0.0,16.1,25.9,62.4,234.1,75.0,9.29,11.1,83.3,4.0,7.29,54.9,1.57,4.57,34.4,0.14,1.86,0.71,1.14,0.43,1.43,0.14,0.0,5.43,22.7,2.71,1.86,0.29,0.14,0.14,0.14,0.14,0.43,0.14,0.0,0.0,0.14,0.14,0.0,1.71,0.71,0.71,0.71,0.29,0.86,2.0,42.9,1.14,0.86,0.29,0.57,0.57,2.29,0.86,0.0,38.4,0.86,6.29,14.0,19.9,3.71,3.14,0.71,22.7,2.29,72.7,27.3,255.6,129.7,4.14,3.14,1.57,1.86,0.86,0.14,0.0,0.0,1.0,1.0,0.43,0.0,0.29,0.86,25.0,23.1,7.14,6.0,0.14,0.14,0.16380208333333335,0.36458333333333337,0.5182291666666666,0.022395833333333334,0.09661458333333334,23,0
Mergim Berisha,FW,24.0,1998,14,14,1143,12.7,6,2.91,0.79,27.0,0.11,0.4,18.9,0.31,0.16,0.24,9.53,20.8,45.8,166.6,70.2,4.17,7.24,57.6,3.7,7.24,51.1,1.26,3.78,33.3,0.31,1.5,1.34,0.47,0.24,1.57,0.0,0.08,5.51,15.7,2.44,0.87,1.02,0.16,0.24,0.08,0.08,0.47,0.16,0.24,0.08,0.0,0.0,0.0,0.55,0.24,0.16,0.16,0.24,0.16,0.39,40.0,0.24,0.79,0.0,0.79,0.0,0.55,1.26,0.0,33.1,1.42,2.99,10.8,20.0,4.8,1.97,0.31,16.0,1.26,64.0,15.4,77.6,27.2,1.18,1.02,0.63,2.68,1.65,0.63,0.08,0.08,1.73,1.26,0.94,0.0,2.44,3.7,39.7,18.7,5.67,2.76,0.0,0.0,0.09033232628398792,0.32628398791540786,0.6042296072507553,0.04290030211480362,0.14501510574018125,16,0
Paul Bernardoni,GK,25.0,1997,14,14,1260,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,25.2,70.0,476.6,350.9,3.57,3.71,96.2,8.86,9.14,96.9,5.07,12.1,42.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.07,0.07,100.0,0.0,0.0,0.0,0.0,0.0,0.07,0.29,0.07,28.1,23.8,27.9,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,78.9,53.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.36,0.07,83.3,9.29,0.0,0.71,0.0,0.07,0.99288256227758,0.00498220640569395,0.0,0.8469750889679715,0.0,47,0
Juan Bernat,DF,29.0,1993,17,11,994,11.0,1,0.45,0.36,80.0,0.2,0.25,11.7,0.0,0.0,0.0,53.1,57.2,92.8,703.5,153.8,33.5,35.5,94.4,15.3,16.5,92.8,1.09,1.45,75.0,0.18,1.27,1.82,0.45,0.09,1.73,0.0,0.09,0.64,52.4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.36,0.45,0.18,1.45,2.45,59.3,1.0,0.64,0.09,0.55,0.45,2.45,1.0,0.0,64.5,2.45,16.5,31.2,17.2,3.18,2.0,0.82,40.9,1.09,54.5,49.0,239.9,104.5,1.36,0.91,0.73,0.55,0.55,0.09,0.0,0.0,0.45,0.55,0.0,0.0,0.36,0.36,50.0,47.0,8.27,5.09,0.0,0.0,0.2558139534883721,0.48372093023255813,0.26666666666666666,0.03798449612403101,0.04930232558139535,70,0
Victor Bernth Kristiansen,DF,20.0,2002,2,2,170,1.9,0,0.53,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,33.2,50.5,65.6,521.1,237.9,19.5,22.6,86.0,10.0,16.8,59.4,3.16,7.37,42.9,0.0,1.05,1.58,0.53,0.0,3.68,0.53,0.0,2.63,36.3,3.16,2.63,0.0,0.0,0.53,0.0,0.0,1.05,1.05,0.0,0.0,0.0,0.0,0.0,6.32,4.74,3.68,2.63,0.0,3.16,3.16,100.0,0.0,0.53,0.0,0.53,0.0,6.32,4.21,0.0,63.7,3.16,22.6,25.8,15.3,1.05,2.63,1.58,60.0,0.0,0.0,29.5,166.3,98.9,3.16,2.11,0.0,1.05,1.05,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.53,2.11,20.0,28.9,1.58,4.74,0.0,0.0,0.35478806907378335,0.4050235478806907,0.2401883830455259,0.049607535321821036,0.016483516483516484,52,0
Beto,FW,25.0,1998,21,13,1203,13.4,7,2.31,0.9,38.7,0.23,0.58,12.0,0.0,0.0,0.0,8.51,13.7,62.0,108.1,12.5,5.75,8.21,70.0,1.79,2.99,60.0,0.37,0.75,50.0,0.07,0.9,0.45,0.15,0.0,0.45,0.0,0.0,0.52,13.2,1.87,1.34,0.0,0.22,0.15,0.15,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.97,0.67,0.0,0.6,0.37,0.22,0.6,37.5,0.37,0.82,0.07,0.75,0.15,1.12,1.12,0.0,28.5,1.34,1.64,11.5,15.7,6.04,2.46,0.82,33.3,1.49,60.6,16.4,65.5,22.8,0.97,0.6,0.75,5.0,2.01,0.07,0.0,0.0,1.64,1.19,0.3,0.0,3.36,2.91,53.6,21.3,5.52,1.27,0.0,0.0,0.05754385964912281,0.40350877192982454,0.5508771929824561,0.047017543859649125,0.21192982456140352,10,0
Owen Bevan,DF,19.0,2003,1,0,9,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,66.7,380.0,70.0,10.0,10.0,100.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38,0
Matteo Bianchetti,DF,29.0,1993,15,13,1243,13.8,1,0.43,0.29,66.7,0.17,0.25,10.6,0.0,0.0,0.0,29.9,38.9,76.7,574.1,243.5,10.7,12.4,86.5,15.7,18.3,85.4,3.04,7.03,43.3,0.0,0.29,1.88,0.36,0.07,2.03,0.0,0.14,0.14,35.5,0.72,0.43,0.22,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.72,0.87,0.36,0.07,0.87,1.45,60.0,0.58,1.59,1.01,0.58,0.72,2.03,5.0,0.0,49.5,8.84,29.4,18.2,2.03,0.72,0.14,0.14,100.0,0.0,0.0,22.4,105.3,56.2,0.29,0.07,0.0,0.22,0.14,0.07,0.0,0.0,0.87,0.22,0.0,0.0,2.25,1.59,58.5,24.7,0.22,5.07,0.0,0.07,0.5939393939393939,0.36767676767676766,0.041010101010101004,0.17858585858585857,0.014545454545454545,57,0
Alessandro Bianco,MF,20.0,2002,3,2,112,1.2,0,1.67,0.83,50.0,0.0,0.0,25.2,0.0,0.0,0.0,38.3,45.0,85.2,688.3,104.2,16.7,20.0,83.3,16.7,20.0,83.3,4.17,4.17,100.0,0.0,0.83,7.5,0.83,0.0,5.0,0.0,2.5,0.83,43.3,2.5,1.67,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.83,0.83,1.67,0.0,1.67,1.67,100.0,0.0,0.83,0.0,0.83,0.0,2.5,0.0,0.0,53.3,0.0,8.33,35.0,10.0,0.83,0.83,0.0,0.0,0.0,0.0,28.3,144.2,77.5,2.5,0.0,0.0,1.67,3.33,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.83,0.83,50.0,39.2,1.67,4.17,0.0,0.0,0.15628517823639776,0.6566604127579738,0.1876172607879925,0.0,0.015572232645403377,68,0
Giulian Biancone,DF,22.0,2000,2,0,17,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,105.0,71.4,1265.0,630.0,30.0,35.0,85.7,40.0,50.0,80.0,5.0,15.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,95.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,10.0,0.0,0.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,125.0,10.0,95.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,380.0,305.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,100.0,65.0,5.0,25.0,0.0,0.0,0.76,0.2,0.04,0.08,0.0,126,0
Jaka Bijol,DF,24.0,1999,17,17,1383,15.4,2,0.65,0.19,30.0,0.2,0.67,9.1,0.0,0.0,0.0,34.8,41.4,84.0,737.9,266.6,8.44,9.74,86.7,21.4,23.1,92.4,4.55,7.21,63.1,0.0,0.13,1.36,0.0,0.0,2.01,0.06,0.06,0.0,40.3,0.45,0.39,0.0,0.0,0.06,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,1.04,0.65,0.84,0.19,0.0,0.45,0.65,70.0,0.19,1.49,0.78,0.71,0.97,2.01,6.3,0.0,53.6,9.22,31.0,21.1,1.56,1.1,0.13,0.06,50.0,0.06,50.0,27.5,131.4,61.0,0.13,0.26,0.06,0.26,0.13,0.26,0.0,0.0,0.65,0.13,0.0,0.0,2.92,1.88,60.8,28.6,0.19,4.68,0.0,0.0,0.5783582089552238,0.39365671641791045,0.029104477611940297,0.17201492537313434,0.020522388059701493,73,0
